ID	GAME_NAME	GAME_URL	WORKING_VARIANTS
800	Chrono Trigger	SNES/Chrono_Trigger.zip	combined,ejs_only,ads_first
900	Final Fantasy VI	SNES/Final_Fantasy_VI_(EN).zip	combined,ejs_only,ads_first
865	Mega Man X	SNES/Mega_Man_X.zip	combined,ejs_only,ads_first
785	Donkey Kong Country 2: Diddy’s Kong Quest	SNES/DKC2.zip	combined,ejs_only,ads_first
882	EarthBound	SNES/Earthbound.zip	combined,ejs_only,ads_first
289	Donkey Kong Country	SNES/Donkey_Kong_Country.zip	combined,ejs_only,ads_first
1000	Final Fantasy IV	SNES/Final_Fantasy_IV.zip	combined,ejs_only,ads_first
1614	Lufia II: Rise of the Sinistrals	SNES/Lufia_II.zip	combined,ejs_only,ads_first
802	Kirby Super Star	SNES/Kirby_Super_Star.zip	combined,ejs_only,ads_first
1632	Tetris Attack	SNES/Tetris_Attack.zip	combined,ejs_only,ads_first
895	Mega Man X2	SNES/Mega_Man_X2.zip	combined,ejs_only,ads_first
919	Super Street Fighter II: The New Challengers	SNES/Super_Street_Fighter_II.zip	combined,ejs_only,ads_first
947	Secret of Mana	SNES/Secret_of_Mana.zip	combined,ejs_only,ads_first
793	Teenage Mutant Ninja Turtles IV: Turtles in Time	SNES/TMNT_4.zip	combined,ejs_only,ads_first
639	Super Castlevania IV	SNES/Super_Castlevania_IV.zip	combined,ejs_only,ads_first
798	Contra III: The Alien Wars	SNES/Contra_III.zip	combined,ejs_only,ads_first
1021	Donkey Kong Country 3: Dixie Kong’s Double Trouble!	SNES/DKC3.zip	combined,ejs_only,ads_first
933	Mega Man X3	SNES/Mega_Man_X3.zip	combined,ejs_only,ads_first
1133	Street Fighter II Turbo: Hyper Fighting	SNES/Street_Fighter_II_Turbo.zip	combined,ejs_only,ads_first
1008	Demon’s Crest	SNES/Demons_Crest.zip	combined,ejs_only,ads_first
994	Illusion of Gaia	SNES/Illusion_of_Gaia.zip	combined,ejs_only,ads_first
857	Super Punch-Out!!	SNES/Super_Punch-Out.zip	combined,ejs_only,ads_first
1152	ActRaiser	SNES/ActRaiser.zip	combined,ejs_only,ads_first
1743	NBA Jam Tournament Edition	SNES/NBA_Jam_TE.zip	combined,ejs_only,ads_first
1142	Street Fighter Alpha 2	SNES/Street_Fighter_Alpha_2.zip	combined,ejs_only,ads_first
1266	Secret of Evermore	SNES/Secret_of_Evermore.zip	combined,ejs_only,ads_first
1539	Harvest Moon	SNES/Harvest_Moon.zip	combined,ejs_only,ads_first
1669	Super Turrican 2	SNES/Super_Turrican_2.zip	combined,ejs_only,ads_first
1542	Cybernator	SNES/Cybernator.zip	combined,ejs_only,ads_first
773	Lost Vikings II: Norse by Norsewest	SNES/Lost_Vikings_II.zip	combined,ejs_only,ads_first
903	Zombies Ate My Neighbors	SNES/Zombies.zip	combined,ejs_only,ads_first
910	Top Gear	SNES/Top_Gear.zip	combined,ejs_only,ads_first
825	Final Fight 3	SNES/Final_Fight_3.zip	combined,ejs_only,ads_first
830	Star Fox	SNES/Star_Fox.zip	combined,ejs_only,ads_first
815	F-Zero	SNES/F-zero.zip	combined,ejs_only,ads_first
1452	Gradius III - The Outbreak	SNES/Gradius_III.zip	combined,ejs_only,ads_first
904	Mega Man 7	SNES/Mega_Man_7.zip	combined,ejs_only,ads_first
1365	Super Bomberman 2	SNES/Super_Bomberman_2.zip	combined,ejs_only,ads_first
875	Killer Instinct	SNES/Killer_Instinct.zip	combined,ejs_only,ads_first
1320	The Legend of the Mystical Ninja	SNES/Legend_of_Mystical_Ninja.zip	combined,ejs_only,ads_first
887	The Adventures of Batman & Robin	SNES/Batman_and_Robin.zip	combined,ejs_only,ads_first
861	Breath of Fire	SNES/Breath_of_Fire.zip	combined,ejs_only,ads_first
1410	Saturday Night Slam Masters	SNES/SNSM.zip	combined,ejs_only,ads_first
1538	Axelay	SNES/Axelay.zip	combined,ejs_only,ads_first
1211	Top Gear 2	SNES/Top_Gear_2.zip	combined,ejs_only,ads_first
1157	The Magical Quest Starring Mickey Mouse	SNES/Magical_Quest.zip	combined,ejs_only,ads_first
1037	Super Bomberman	SNES/Super_Bomberman.zip	combined,ejs_only,ads_first
1579	Uniracers	SNES/Uniracers.zip	combined,ejs_only,ads_first
1059	Super Ghouls ’N Ghosts	SNES/Super_Ghouls_N_Ghosts.zip	combined,ejs_only,ads_first
879	Bust-A-Move	SNES/Bust-A-Move.zip	combined,ejs_only,ads_first
1509	Super Turrican	SNES/Super_Turrican.zip	combined,ejs_only,ads_first
1504	Ninja Gaiden Trilogy	SNES/Ninja_Gaiden_Trilogy.zip	combined,ejs_only,ads_first
