ID	GAME_NAME	GAME_URL
800	Chrono Trigger	SNES/Chrono_Trigger.zip
900	Final Fantasy VI	SNES/Final_Fantasy_VI_(EN).zip
865	Mega Man X	SNES/Mega_Man_X.zip
785	Donkey Kong Country 2: Diddy’s Kong Quest	SNES/DKC2.zip
882	EarthBound	SNES/Earthbound.zip
289	Donkey Kong Country	SNES/Donkey_Kong_Country.zip
1000	Final Fantasy IV	SNES/Final_Fantasy_IV.zip
1614	Lufia II: Rise of the Sinistrals	SNES/Lufia_II.zip
802	Kirby Super Star	SNES/Kirby_Super_Star.zip
1632	Tetris Attack	SNES/Tetris_Attack.zip
895	Mega Man X2	SNES/Mega_Man_X2.zip
919	Super Street Fighter II: The New Challengers	SNES/Super_Street_Fighter_II.zip
947	Secret of Mana	SNES/Secret_of_Mana.zip
793	Teenage Mutant Ninja Turtles IV: Turtles in Time	SNES/TMNT_4.zip
639	Super Castlevania IV	SNES/Super_Castlevania_IV.zip
798	Contra III: The Alien Wars	SNES/Contra_III.zip
1021	Donkey Kong Country 3: Dixie Kong’s Double Trouble!	SNES/DKC3.zip
933	Mega Man X3	SNES/Mega_Man_X3.zip
1133	Street Fighter II Turbo: Hyper Fighting	SNES/Street_Fighter_II_Turbo.zip
1008	Demon’s Crest	SNES/Demons_Crest.zip
994	Illusion of Gaia	SNES/Illusion_of_Gaia.zip
857	Super Punch-Out!!	SNES/Super_Punch-Out.zip
1152	ActRaiser	SNES/ActRaiser.zip
1743	NBA Jam Tournament Edition	SNES/NBA_Jam_TE.zip
1142	Street Fighter Alpha 2	SNES/Street_Fighter_Alpha_2.zip
1266	Secret of Evermore	SNES/Secret_of_Evermore.zip
1539	Harvest Moon	SNES/Harvest_Moon.zip
1669	Super Turrican 2	SNES/Super_Turrican_2.zip
1542	Cybernator	SNES/Cybernator.zip
773	Lost Vikings II: Norse by Norsewest	SNES/Lost_Vikings_II.zip
903	Zombies Ate My Neighbors	SNES/Zombies.zip
910	Top Gear	SNES/Top_Gear.zip
825	Final Fight 3	SNES/Final_Fight_3.zip
830	Star Fox	SNES/Star_Fox.zip
815	F-Zero	SNES/F-zero.zip
1452	Gradius III - The Outbreak	SNES/Gradius_III.zip
904	Mega Man 7	SNES/Mega_Man_7.zip
1365	Super Bomberman 2	SNES/Super_Bomberman_2.zip
875	Killer Instinct	SNES/Killer_Instinct.zip
1320	The Legend of the Mystical Ninja	SNES/Legend_of_Mystical_Ninja.zip
887	The Adventures of Batman & Robin	SNES/Batman_and_Robin.zip
861	Breath of Fire	SNES/Breath_of_Fire.zip
1410	Saturday Night Slam Masters	SNES/SNSM.zip
1538	Axelay	SNES/Axelay.zip
1211	Top Gear 2	SNES/Top_Gear_2.zip
1157	The Magical Quest Starring Mickey Mouse	SNES/Magical_Quest.zip
1037	Super Bomberman	SNES/Super_Bomberman.zip
1579	Uniracers	SNES/Uniracers.zip
1059	Super Ghouls ’N Ghosts	SNES/Super_Ghouls_N_Ghosts.zip
879	Bust-A-Move	SNES/Bust-A-Move.zip
1509	Super Turrican	SNES/Super_Turrican.zip
1504	Ninja Gaiden Trilogy	SNES/Ninja_Gaiden_Trilogy.zip
