N	REQUESTED_TITLE	REASON
2	Super Metroid	NO_WORKING_EJS
20	Wild Guns	NOT_IN_RETROGAMES_CZ_SNES_CATALOG
21	Breath of Fire II	NOT_IN_RETROGAMES_CZ_SNES_CATALOG
24	Ogre Battle: The March of the Black Queen	NOT_IN_RETROGAMES_CZ_SNES_CATALOG
25	International Superstar Soccer Deluxe	NOT_IN_RETROGAMES_CZ_SNES_CATALOG
28	The Ninja Warriors	NOT_IN_RETROGAMES_CZ_SNES_CATALOG
29	Sunset Riders	NOT_IN_RETROGAMES_CZ_SNES_CATALOG
32	Shadowrun	NOT_IN_RETROGAMES_CZ_SNES_CATALOG
33	Ultimate Mortal Kombat 3	NOT_IN_RETROGAMES_CZ_SNES_CATALOG
34	U.N. Squadron	NOT_IN_RETROGAMES_CZ_SNES_CATALOG
36	Kirby's Dream Land 3	NOT_IN_RETROGAMES_CZ_SNES_CATALOG
37	Uncharted Waters: New Horizons	NOT_IN_RETROGAMES_CZ_SNES_CATALOG
38	Soul Blazer	NOT_IN_RETROGAMES_CZ_SNES_CATALOG
39	Rock N' Roll Racing	NOT_IN_RETROGAMES_CZ_SNES_CATALOG
41	R-Type III: The Third Lightning	NOT_IN_RETROGAMES_CZ_SNES_CATALOG
43	The Lost Vikings	NOT_IN_RETROGAMES_CZ_SNES_CATALOG
45	Street Fighter II: The World Warrior	NOT_IN_RETROGAMES_CZ_SNES_CATALOG
49	Tecmo Super Bowl	NOT_IN_RETROGAMES_CZ_SNES_CATALOG
51	Top Gear 3000	NOT_IN_RETROGAMES_CZ_SNES_CATALOG
52	Space Megaforce	NOT_IN_RETROGAMES_CZ_SNES_CATALOG
53	Pocky & Rocky 2	NOT_IN_RETROGAMES_CZ_SNES_CATALOG
54	Mortal Kombat II	NOT_IN_RETROGAMES_CZ_SNES_CATALOG
57	Pocky & Rocky	NOT_IN_RETROGAMES_CZ_SNES_CATALOG
59	Ken Griffey Jr.'s Winning Run	NOT_IN_RETROGAMES_CZ_SNES_CATALOG
63	Biker Mice from Mars	NOT_IN_RETROGAMES_CZ_SNES_CATALOG
64	Hagane: The Final Conflict	NOT_IN_RETROGAMES_CZ_SNES_CATALOG
65	NBA Jam	NOT_IN_RETROGAMES_CZ_SNES_CATALOG
66	SimCity	NOT_IN_RETROGAMES_CZ_SNES_CATALOG
67	International Superstar Soccer	NOT_IN_RETROGAMES_CZ_SNES_CATALOG
71	Sparkster	NOT_IN_RETROGAMES_CZ_SNES_CATALOG
72	Robotrek	NOT_IN_RETROGAMES_CZ_SNES_CATALOG
73	The King of Dragons	NOT_IN_RETROGAMES_CZ_SNES_CATALOG
74	E.V.O.: Search for Eden	NOT_IN_RETROGAMES_CZ_SNES_CATALOG
79	Metal Warriors	NOT_IN_RETROGAMES_CZ_SNES_CATALOG
80	Ken Griffey Jr. Presents Major League Baseball	NOT_IN_RETROGAMES_CZ_SNES_CATALOG
81	Flashback: The Quest for Identity	NOT_IN_RETROGAMES_CZ_SNES_CATALOG
83	Earthworm Jim 2	NOT_IN_RETROGAMES_CZ_SNES_CATALOG
87	Mortal Kombat 3	NOT_IN_RETROGAMES_CZ_SNES_CATALOG
90	Aladdin	NOT_IN_RETROGAMES_CZ_SNES_CATALOG
92	Maui Mallard in Cold Shadow	NOT_IN_RETROGAMES_CZ_SNES_CATALOG
93	Aero Fighters	NOT_IN_RETROGAMES_CZ_SNES_CATALOG
